word,farsnet_word,sense_frequency
نظموترتیب,نظم‌وترتیب,4
ربودن,ربودن,4
نعشکش,نعش‌کش,4
مریم,مریم,4
رویان,رویان,4
طبق,طبق,4
حجت,حجت,4
محدود,محدود,4
درخواست,درخواست,4
مهار,مهار,4
حقیقت,حقیقت,4
کیفور,کیفور,4
مهاجم,مهاجم,4
درد,درد,4
نمره,نمره,4
مهربانی,مهربانی,4
جوان,جوان,4
مهمان,مهمان,4
نقلکردن,نقل‌کردن,4
ارگ,ارگ,4
متوقفکردن,متوقف کردن,4
مردن,مردن,4
رگوریشه,رگ‌وریشه,4
مسخره,مسخره,4
کیش,کیش,4
ازادکردن,آزاد کردن,4
نه,نه,4
حل,حل,4
نر,نر,4
حلال,حلال,4
اتاق,اتاق,4
ریشه,ریشه,4
نقاشیکردن,نقاشی‌کردن,4
نقد,نقد,4
جوی,جوی,4
دراز,دراز,4
گلستان,گلستان,4
اراسته,آراسته,4
ریزریز,ریزریز,4
نفوذکردن,نفوذ کردن,4
نقاشی,نقاشی,4
اذری,آذری,4
نزدیک,نزدیک,4
ابکردن,آب‌کردن,4
ابکشیدن,آب کشیدن,4
گندمی,گندمی,4
خونی,خونی,4
درباز,درباز,4
جوشخورده,جوش‌خورده,4
مرغ,مرغ,4
ریسه,ریسه,4
تیره,تیره,4
دمکرده,دم‌کرده,4
دنا,دنا,4
احتیاط,احتیاط,4
روایت,روایت,4
گیرنده,گیرنده,4
دولت,دولت,4
نابودکردن,نابود کردن,4
نااندیشیده,نااندیشیده,4
دمکردن,دم‌کردن,4
گیرانداختن,گیر انداختن,4
صندل,صندل,4
نابهوقت,نابه‌وقت,4
کهنه,کهنه,4
زیاد,زیاد,4
معلوم,معلوم,4
ده,ده,4
1 تیر,1 تیر,4
هزار,هزار,4
معماری,معماری,4
استخوانی,استخوانی,4
طهارت,طهارت,4
خلاصه,خلاصه,4
روحانی,روحانی,4
مذهب,مذهب,4
عروس,عروس,4
خلقکردن,خلق کردن,4
روح,روح,4
گرمی,گرمی,4
4 شهریور,4 شهریور,4
نابایست,نابایست,4
مفتی,مفتی,4
هادی,هادی,4
مایع,مایع,4
زندگیکردن,زندگی کردن,4
2 اردیبهشت,2 اردیبهشت,4
احساس,احساس,4
دوماردیبهشت,دوم اردیبهشت,4
دمدار,دم‌دار,4
نابهنگام,نابهنگام,4
گره,گره,4
احساسکردن,احساس‌کردن,4
گیج,گیج,4
دماوند,دماوند,4
خردهفروشی,خرده‌فروشی,4
مددکار,مددکار,4
ره,ره,4
مانده,مانده,4
هفتم,هفتم,4
رهبر,رهبر,4
مطلب,مطلب,4
اجرا,اجرا,4
هفت,هفت,4
توسعه,توسعه,4
معرفی,معرفی,4
مدل,مدل,4
طیکردن,طی کردن,4
دوری,دوری,4
دواردیبهشت,دو اردیبهشت,4
هلدادن,هل‌دادن,4
گریزان,گریزان,4
معاون,معاون,4
دودکردن,دود کردن,4
زیرزبانی,زیرزبانی,4
هل,هل,4
نازک,نازک,4
استعداد,استعداد,4
توجهکردن,توجه کردن,4
توقف,توقف,4
استر,استر,4
ناظر,ناظر,4
دوستداشتن,دوست داشتن,4
نادرست,نادرست,4
خروجی,خروجی,4
رنگساز,رنگ‌ساز,4
روانی,روانی,4
دهانه,دهانه,4
دوش,دوش,4
دوستدار,دوستدار,4
مانعشدن,مانع‌شدن,4
هشیار,هشیار,4
اجازه,اجازه,4
معرفیکردن,معرفی کردن,4
زیبا,زیبا,4
دو,دو,4
15 دی,15 دی,4
مکعب,مکعب,4
مقابلهکردن,مقابله کردن,4
نکته,نکته,4
خانم,خانم,4
زنده,زنده,4
خمشدن,خم شدن,4
اخترشمار,اخترشمار,4
خاموشی,خاموشی,4
دلاور,دلاور,4
نگاشتن,نگاشتن,4
ثبات,ثبات,4
مایل,مایل,4
تکلیف,تکلیف,4
رنگ,رنگ,4
ناازموده,ناآزموده,4
نگهبان,نگهبان,4
گستره,گستره,4
نگرانی,نگرانی,4
تکتک,تک‌تک,4
گرفته,گرفته,4
علفی,علفی,4
تکثیر,تکثیر,4
عرصه,عرصه,4
زن,زن,4
خواب,خواب,4
ظهر,ظهر,4
دوچرخهسوار,دوچرخه‌سوار,4
مفسر,مفسر,4
عرق,عرق,4
محک,محک,4
مخالف,مخالف,4
خانواده,خانواده,4
اختلال,اختلال,4
دلار,دلار,4
صوت,صوت,4
خالق,خالق,4
نگاه,نگاه,4
ناموزون,ناموزون,4
گستردهشدن,گسترده شدن,4
محکمه,محکمه,4
مکتب,مکتب,3
داخله,داخله,3
پستهای,پسته‌ای,3
خنثیکردن,خنثی کردن,3
خندان,خندان,3
مومیایی,مومیایی,3
داخلشدن,داخل شدن,3
داخل,داخل,3
رنجور,رنجور,3
خنیاگر,خنیاگر,3
رستن,رستن,3
خصوصی,خصوصی,3
بزرگواربودن,بزرگوار بودن,3
برچسب,برچسب,3
بردمیدن,بردمیدن,3
ناخوشایند,ناخوشایند,3
خوببودن,خوب بودن,3
رمانتیک,رمانتیک,3
رشتن,رشتن,3
مدهوش,مدهوش,3
پرورشیافتن,پرورش‌یافتن,3
مرتب,مرتب,3
بزرگشدن,بزرگ شدن,3
پنجمی,پنجمی,3
خونگرفتن,خون گرفتن,3
میانه,میانه,3
خیابان,خیابان,3
مکان,مکان,3
مرتببودن,مرتب بودن,3
مرفه,مرفه,3
سیاهرو,سیاه‌رو,3
ناراست,ناراست,3
خواهشکردن,خواهش کردن,3
رسمکردن,رسم کردن,3
مرغی,مرغی,3
نادیدهگرفتن,نادیده گرفتن,3
نار,نار,3
ناراحتی,ناراحتی,3
مولد,مولد,3
بزرگکردن,بزرگ کردن,3
مربع,مربع,3
مراقبت,مراقبت,3
پرهیزکردن,پرهیز کردن,3
سیگارت,سیگارت,3
برافروختن,برافروختن,3
رهبری,رهبری,3
نازکردن,نازکردن,3
خوابیده,خوابیده,3
رز,رز,3
پسند,پسند,3
خشاب,خشاب,3
بستر,بستر,3
بندگی,بندگی,3
دار,دار,3
موضع,موضع,3
سیکلمه,سیکلمه,3
پرو,پرو,3
برانگیختن,برانگیختن,3
رمیده,رمیده,3
رهن,رهن,3
پسزدن,پس‌زدن,3
پسزمینه,پس‌زمینه,3
سپریشدن,سپری شدن,3
دارچینی,دارچینی,3
قران,قرآن,3
پوست,پوست,3
رهنما,رهنما,3
قاچاق,قاچاق,3
برابریکردن,برابری کردن,3
سپرده,سپرده,3
ردیفکردن,ردیف کردن,3
موفق,موفق,3
رساندن,رساندن,3
رنگکردن,رنگ کردن,3
مدیریت,مدیریت,3
برجستهسازی,برجسته‌سازی,3
سینما,سینما,3
خشکشدن,خشک شدن,3
پهلوان,پهلوان,3
رمزی,رمزی,3
داد,داد,3
داخلی,داخلی,3
خنک,خنک,3
خشکیدن,خشکیدن,3
پنس,پنس,3
ناز,ناز,3
خوابزده,خواب‌زده,3
دادگاه,دادگاه,3
پستی,پستی,3
موقع,موقع,3
برتریداشتن,برتری داشتن,3
برتربودن,برتر بودن,3
بندکردن,‌بند کردن,3
خواست,خواست,3
برج,برج,3
سیهرو,سیه‌رو,3
بزغاله,بزغاله,3
پروازکردن,پرواز کردن,3
میخکوب,میخکوب,3
قد,قد,3
سوگواری,سوگواری,3
برهوت,برهوت,3
برهمن,برهمن,3
سیزدهابان,سیزده آبان,3
سوگ,سوگ,3
بلاگردان,بلاگردان,3
سیزدهمابان,سیزدهم آبان,3
پرچمدار,پرچم‌دار,3
سیرک,سیرک,3
مرحله,مرحله,3
میلیون,میلیون,3
رفیق,رفیق,3
بروبیا,بروبیا,3
سی,سی,3
برگزیدن,برگزیدن,3
خوشباورانه,خوش‌باورانه,3
پلمب,پلمب,3
میلزدن,میل زدن,3
سیاستمدار,سیاستمدار,3
مردمسالاری,مردم‌سالاری,3
رقابت,رقابت,3
خلق,خلق,3
خوشخواب,خوش‌خواب,3
بشکه,بشکه,3
سویا,سویا,3
بلد,بلد,3
قالیباف,قالی‌باف,3
پلمپ,پلمپ,3
نابسامانی,نابسامانی,3
خوشبختی,خوشبختی,3
پلاک,پلاک,3
بغل,بغل,3
مذهبی,مذهبی,3
بریدگی,بریدگی,3
رفاه,رفاه,3
پشک,پشک,3
نااگاهانه,ناآگاهانه,3
مردم,مردم,3
خمارالود,خمارآلود,3
میهمان,میهمان,3
بغلی,بغلی,3
خورشید,خورشید,3
برچسبزدن,برچسب زدن,3
نااگاه,ناآگاه,3
خورشیدی,خورشیدی,3
خم,خم,3
مرخصی,مرخصی,3
برونته,برونته,3
پرکردن,پر کردن,3
بلاتکلیف,بلاتکلیف,3
خمارالوده,خمارآلوده,3
قتل,قتل,3
قبول,قبول,3
سیرابی,سیرابی,3
مرحمت,مرحمت,3
خلل,خلل,3
پف,پف,3
رقت,رقت,3
سیم,سیم,3
خوشگل,خوشگل,3
خفه,خفه,3
ناجور,ناجور,3
پناهگاه,پناهگاه,3
رل,رل,3
ناجوری,ناجوری,3
پشته,پشته,3
ناارام,ناآرام,3
خوشهچینی,خوشه‌چینی,3
ناتوانی,ناتوانی,3
برفی,برفی,3
قاطع,قاطع,3
رقیب,رقیب,3
خلا,خلائ,3
برفک,برفک,3
میت,میت,3
خونسرد,خونسرد,3
برزخ,برزخ,3
ناجی,ناجی,3
خونکردن,خون کردن,3
پری,پری,3
قدردانی,قدردانی,3
برزدن,بر زدن,3
قدرتنمایی,قدرت‌نمایی,3
رند,رند,3
قاضی,قاضی,3
سیمرغ,سیمرغ,3
سیال,سیال,3
خموش,خموش,3
مردهکش,مرده‌کش,3
میز,میز,3
خلال,خلال,3
نابودشدن,نابود شدن,3
مدیونبودن,مدیون‌بودن,3
مردودی,مردودی,3
رشدکردن,رشد کردن,3
برنج,برنج,3
خمودی,خمودی,3
قالب,قالب,3
برنامهریزیکردن,برنامه‌ریزی کردن,3
مرده,مرده,3
مراد,مراد,3
خوشهچین,خوشه‌چین,3
رشددادن,رشد دادن,3
قاعده,قاعده,3
برقراربودن,برقرار بودن,3
قاطیکردن,قاطی کردن,3
مردودکردن,مردود کردن,3
خوشه,خوشه,3
برم,برم,3
بشاش,بشاش,3
خودداری,خودداری,3
ناتوان,ناتوان,3
پلیکپی,پلی‌کپی,3
پیشدانشگاهی,پیش‌دانشگاهی,3
مقدر,مقدر,3
دلالت,دلالت,3
چرخکار,چرخ‌کار,3
دیدنی,دیدنی,3
بابل,بابل,3
شریک,شریک,3
دلالی,دلالی,3
چربیگیر,چر‌بی‌گیر,3
دیدار,دیدار,3
دید,دید,3
بابا,بابا,3
مقایسهکردن,مقایسه کردن,3
چرخخوردن,چرخ خوردن,3
شروعنمودن,شروع‌نمودن,3
باجخواه,باج‌خواه,3
شروعکردن,شروع کردن,3
دقیقه,دقیقه,3
مقدم,مقدم,3
دیروز,دیروز,3
دقیق,دقیق,3
چربیگیری,چر‌بی‌گیری,3
دیرش,دیرش,3
باجبگیر,باج‌بگیر,3
چرخ,چرخ,3
فعل,فعل,3
مفصل,مفصل,3
شعبه,شعبه,3
شعبدهباز,شعبده‌باز,3
مصحح,مصحح,3
چشم,چشم,3
ششگوشه,شش‌گوشه,3
ششگوش,شش‌گوش,3
مصدوم,مصدوم,3
دله,دله,3
چشمه,چشمه,3
مصرف,مصرف,3
دلوجگر,دل‌وجگر,3
دلجو,دل‌جو,3
چرککردن,چرک کردن,3
فطیر,فطیر,3
مقاوم,مقاوم,3
چروک,چروک,3
اگاهی,آگاهی,3
اگاهشدن,آگاه شدن,3
دلجوی,دل‌جوی,3
اگاه,آگاه,3
مفیدبودن,مفیدبودن,3
چشمی,چشمی,3
بارور,بارور,3
دیپلم,دیپلم,3
شخصی,شخصی,3
باری,باری,3
چانهزدن,چانه‌زدن,3
باریک,باریک,3
باریکشدن,باریک شدن,3
دستگیرکردن,دستگیر کردن,3
فلفل,فلفل,3
دشمنی,دشمنی,3
ملخ,ملخ,3
مشخصکردن,مشخص‌کردن,3
ملکه,ملکه,3
دچاروقفهکردن,دچار وقفه کردن,3
مشتری,مشتری,3
دستوردادن,دستور دادن,3
چارچوب,چارچوب,3
فلک,فلک,3
دستوپابسته,دست‌وپابسته,3
دیگر,دیگر,3
ممات,ممات,3
بارکش,بارکش,3
باریکه,باریکه,3
باربر,باربر,3
شرح,شرح,3
شرحدادن,شرح دادن,3
چتکردن,چت کردن,3
بادقت,بادقت,3
شربت,شربت,3
چتر,چتر,3
چرا,چرا,3
دفع,دفع,3
دفعکردن,دفع کردن,3
شرمناک,شرمناک,3
مقرری,مقرری,3
باجگیر,باج‌گیر,3
دیمی,دیمی,3
دعا,دعا,3
مشغولشدن,مشغول شدن,3
شرایط,شرایط,3
شدن,شدن,3
باراوردن,بارآوردن,3
مقیاس,مقیاس,3
دفاعکردن,دفاع کردن,3
مقصود,مقصود,3
فلس,فلس,3
بازبینیکردن,بازبینی کردن,3
دهماردیبهشت,دهم اردیبهشت,3
اویزان,آویزان,3
معرکه,معرکه,3
چینش,چینش,3
دهمابان,دهم آبان,3
دهلیز,دهلیز,3
چیرگی,چیرگی,3
چهلم,چهلم,3
اولدی,اول دی,3
شنیدنی,شنیدنی,3
دوزاری,دوزاری,3
مطالعهکردن,مطالعه کردن,3
دواتشه,دوآتشه,3
فروند,فروند,3
چینه,چینه,3
چیدن,چیدن,3
معلق,معلق,3
ایتالیایی,ایتالیایی,3
ایجاد,ایجاد,3
معلقماندن,معلق ماندن,3
دهاردیبهشت,ده اردیبهشت,3
دهابان,ده آبان,3
شنا,شنا,3
مضمون,مضمون,3
دهر,دهر,3
ای,آی,3
اهنپاره,آهن‌پاره,3
اهلکتاب,اهل کتاب,3
اهن,آهن,3
معاونت,معاونت,3
فروخفته,فروخفته,3
فروختن,فروختن,3
اهلسنتوجماعت,اهل سنت و جماعت,3
اهلسنت,اهل‌سنت,3
اهل,اهل,3
دوربین,دوربین,3
معاشر,معاشر,3
معتادکردن,معتادکردن,3
مطرب,مطرب,3
چپگرد,چپ‌گرد,3
مطرحکردن,مطرح کردن,3
دوتایی,دوتایی,3
فروش,فروش,3
دوز,دوز,3
فروغ,فروغ,3
معترض,معترض,3
دوختن,دوختن,3
شفاف,شفاف,3
شل,شل,3
مغزدار,مغزدار,3
چند,چند,3
دمان,دمان,3
شلوغ,شلوغ,3
اپارات,آپارات,3
شلوغکردن,شلوغ کردن,3
فساد,فساد,3
اینقدر,این‌قدر,3
شلوغپلوغ,شلوغ‌پلوغ,3
شلوغوپلوغ,شلوغ‌وپلوغ,3
دماغ,دماغ,3
چلیپا,چلیپا,3
دلیجان,دلیجان,3
شفت,شفت,3
مفارقت,مفارقت,3
شفاهی,شفاهی,3
فشردن,فشردن,3
دلگندگی,دل‌گندگی,3
چله,چله,3
فشاردادن,فشار دادن,3
دلگیر,دل‌گیر,3
چنگ,چنگ,3
معنی,معنی,3
دنده,دنده,3
دولا,دولا,3
چهارم,چهارم,3
دولاپهنا,دولاپهنا,3
شمرده,شمرده,3
دنبالهدار,دنباله‌دار,3
دوطرفه,دوطرفه,3
معلومکردن,معلوم کردن,3
چهارگوش,چهارگوش,3
چهرهسازی,چهره‌سازی,3
شمع,شمع,3
مغرب,مغرب,3
دمیدن,دمیدن,3
فزونی,فزونی,3
دوم,دوم,3
دمبریده,دم‌بریده,3
شمال,شمال,3
چهارشاخ,چهارشاخ,3
فریم,فریم,3
ایستاده,ایستاده,3
معین,معین,3
دستنویس,دست‌نویس,3
موسیقی,موسیقی,3
راهپیماییکردن,راهپیمائی کردن,3
موازنه,موازنه,3
بحثکردن,بحث کردن,3
راهیافتن,راه‌یافتن,3
راهکار,راهکار,3
دختر,دختر,3
فیش,فیش,3
شارژ,شارژ,3
بخشیدن,بخشیدن,3
شافعی,شافعی,3
درام,درام,3
راهنمایی,راهنمایی,3
شال,شال,3
درازشدن,دراز شدن,3
مو,مو,3
پیروزشدن,پیروز شدن,3
فیل,فیل,3
موتیف,موتیف,3
موثر,موثر,3
بخشش,بخشش,3
شادکام,شادکام,3
پیرامون,پیرامون,3
دایرکردن,دایر کردن,3
رایت,رایت,3
بخت,بخت,3
بخارپز,بخارپز,3
درامدن,درآمدن,3
شانسی,شانسی,3
مهمانخانه,مهمان‌خانه,3
مهماندار,مهمان‌دار,3
شانس,شانس,3
دربهدر,دربه‌در,3
دربوداغانکردن,درب‌و‌داغان کردن,3
پیشقدمبودن,پیش‌قدم‌بودن,3
درجهدار,درجه‌دار,3
راننده,راننده,3
رامشگری,رامشگری,3
رامشگر,رامشگر,3
بانمک,بانمک,3
دربند,دربند,3
دراویختن,درآویختن,3
باواسطه,باواسطه,3
شالوده,شالوده,3
پیشرفتن,پیش رفتن,3
مستحق,مستحق,3
دربرگرفتن,دربرگرفتن,3
مدرسه,مدرسه,3
پیشدبستانی,پیش‌دبستانی,3
پیشدستی,پیش‌دستی,3
بدل,بدل,3
فکل,فکل,3
رخ,رخ,3
مزاحم,مزاحم,3
رختاویز,رخت‌آویز,3
دانستن,دانستن,3
بدعتگذار,بدعت‌گذار,3
ربط,ربط,3
مزرعه,مزرعه,3
پولکی,پولکی,3
مزخرف,مزخرف,3
موزون,موزون,3
بدکار,بدکار,3
داغشدن,داغ شدن,3
داغان,داغان,3
بدیکردن,بدی کردن,3
مزاج,مزاج,3
داشتن,داشتن,3
پوستکلفت,پوست‌کلفت,3
سکس,سکس,3
پوشیدن,پوشیدن,3
موسسه,موسسه,3
پوچ,پوچ,3
بداخلاق,بداخلاق,3
دایرنمودن,دایر نمودن,3
موج,موج,3
پیداکردن,پیداکردن,3
داوطلب,داوطلب,3
شادمان,شادمان,3
راکت,راکت,3
دایره,دایره,3
بخیهزدن,بخیه‌زدن,3
بخیه,بخیه,3
پیر,پیر,3
رب,رب,3
پیام,پیام,3
پیالهفروشی,پیاله‌فروشی,3
شاداب,شاداب,3
موجود,موجود,3
ربایشگر,ربایشگر,3
شاخص,شاخص,3
پیامبری,پیامبری,3
بدجور,بدجور,3
شاد,شاد,3
درگوشی,درگوشی,3
درگیرکردن,درگیر کردن,3
منتشرکردن,منتشر کردن,3
منتشرشدن,منتشرشدن,3
بازگوکردن,بازگو کردن,3
مسکن,مسکن,3
منتظم,منتظم,3
شبه,شبه,3
باطلکردن,باطل کردن,3
منتزعکردن,منتزع کردن,3
شبی,شبی,3
فهم,فهم,3
بازگرداندن,بازگرداندن,3
دزدی,دزدی,3
ذخیرهکردن,ذخیره کردن,3
منجی,منجی,3
منحنی,منحنی,3
ذره,ذره,3
مسی,مسی,3
دریچه,دریچه,3
شبرو,شب‌رو,3
باسک,باسک,3
پیک,پیک,3
باسواد,باسواد,3
پیگیری,پیگیری,3
بازرگان,بازرگان,3
دکتر,دکتر,3
چادر,چادر,3
مناسببودن,مناسب بودن,3
دستدادن,دست دادن,3
پکوپوز,پک‌وپوز,3
من,من,3
دکاندار,دکان‌دار,3
بازخواندن,بازخواندن,3
شتابزده,شتاب‌زده,3
بازنمایی,بازنمایی,3
پژمردن,پژمردن,3
دگر,دگر,3
مش,مش,3
منتخب,منتخب,3
بازیکردن,بازی کردن,3
بازیگر,بازیگر,3
دستاویز,دستاویز,3
منبتکاری,منبت‌کاری,3
منبتکار,منبت‌کار,3
منبت,منبت,3
پیشنهادکردن,پیشنهاد کردن,3
مه,مه,3
راس,راس,3
راسته,راسته,3
درست,درست,3
مستند,مستند,3
پیل,پیل,3
رادیکال,رادیکال,3
منفیکردن,منفی کردن,3
بالاانداختن,بالا انداختن,3
راز,راز,3
پیلهور,پیله‌ور,3
پیغمبری,پیغمبری,3
رام,رام,3
بامزه,بامزه,3
بامیه,بامیه,3
فولادی,فولادی,3
باند,باند,3
مهتابی,مهتابی,3
راستگرد,راست‌گرد,3
مهارت,مهارت,3
پیشینه,پیشینه,3
پیشگامشدن,پیش‌گام شدن,3
درصد,درصد,3
منطقی,منطقی,3
پیوسته,پیوسته,3
پیوستن,پیوستن,3
منظم,منظم,3
شاکی,شاکی,3
منظور,منظور,3
منصوبکردن,منصوب‌کردن,3
فوتکردن,فوت کردن,3
مسمومکردن,مسموم کردن,3
مسند,مسند,3
پیوندزدن,پیوند زدن,3
پینهدوز,پینه‌دوز,3
درمان,درمان,3
منعکسکردن,منعکس کردن,3
درمقابل,درمقابل,3
باقیگذاشتن,باقی گذاشتن,3
راحتی,راحتی,3
فوقالعاده,فوق‌العاده,3
منعکردن,منع کردن,3
باقاعده,باقاعده,3
بافه,بافه,3
فوری,فوری,3
قطعه,قطعه,3
لوس,لوس,3
زجردادن,زجر دادن,3
ترجمه,ترجمه,3
سترون,سترون,3
ترجمهکردن,ترجمه کردن,3
ستایشکردن,ستایش کردن,3
نیام,نیام,3
جذبکردن,جذب کردن,3
نونهال,نونهال,3
نوشیدن,نوشیدن,3
زبانه,زبانه,3
زبانی,زبانی,3
نونوار,نونوار,3
تاس,تاس,3
نیرنگ,نیرنگ,3
زدگی,زدگی,3
نیرویجاذبه,نیروی جاذبه,3
مبهوت,مبهوت,3
ستارهدار,ستاره‌دار,3
جت,جت,3
جدا,جدا,3
ستارهشمار,ستاره‌شمار,3
واگذاشتن,واگذاشتن,3
جد,جد,3
ترسداشتن,ترس داشتن,3
جریمه,جریمه,3
سجده,سجده,3
وراندازکردن,ورانداز کردن,3
نورسیده,نورسیده,3
ورافتادن,ورافتادن,3
متشابه,متشابه,3
تذکردادن,تذکر دادن,3
ورد,ورد,3
ورزشکار,ورزش‌کار,3
ورطه,ورطه,3
جعبه,جعبه,3
متصدی,متصدی,3
سحر,سحر,3
لهولورده,له‌ولورده,3
تذکیر,تذکیر,3
وجود,وجود,3
نوزدهمفروردین,نوزدهم فروردین,3
تراشیدن,تراشیدن,3
نوسازی,نوسازی,3
متر,متر,3
وحشی,وحشی,3
ترادف,ترادف,3
جشن,جشن,3
متزلزل,متزلزل,3
نوزدهفروردین,نوزده فروردین,3
ترشکردن,ترش کردن,3
جامجم,جام‌جم,3
ساکتکردن,ساکت کردن,3
ساکتنمودن,ساکت نمودن,3
مباشر,مباشر,3
تسلا,تسلا,3
تسلط,تسلط,3
جاذبه,جاذبه,3
لیره,لیره,3
جالب,جالب,3
لیر,لیر,3
تسبیح,تسبیح,3
جاریکردن,جاری کردن,3
سایهسار,سایه‌سار,3
وارفتن,وارفتن,3
نپذیرفتن,نپذیرفتن,3
ثقیل,ثقیل,3
زمینه,زمینه,3
مباحثه,مباحثه,3
زمینی,زمینی,3
وادارکردن,وادار کردن,3
زمردی,زمردی,3
وارستگی,وارستگی,3
ثمر,ثمر,3
واردکردن,وارد کردن,3
جامد,جامد,3
سبککردن,سبک کردن,3
مبلسازی,مبل‌سازی,3
نیش,نیش,3
ترنج,ترنج,3
تره,تره,3
زرشک,زرشک,3
جانشینکردن,جانشین کردن,3
جانکندن,جان کندن,3
لولهبازکن,لوله‌بازکن,3
ترغیبکردن,ترغیب کردن,3
ترمز,ترمز,3
سبکسرانه,سبک‌سرانه,3
جاندار,جاندار,3
ترکیدن,ترکیدن,3
زشت,زشت,3
مبدع,مبدع,3
زعفرانی,زعفرانی,3
نیمهکاره,نیمه‌کاره,3
نیمروز,نیم‌روز,3
جانب,جانب,3
نیمبند,نیم‌بند,3
نیمرخ,نیم‌رخ,3
ترکه,ترکه,3
له,له,3
تباهکردن,تباه کردن,3
نمودن,نمودن,3
نمودکردن,نمود کردن,3
لطمه,لطمه,3
جنب,جنب,3
سربی,سربی,3
جناح,جناح,3
تبصره,تبصره,3
جنس,جنس,3
وقفکردن,وقف کردن,3
نمایشگاه,نمایشگاه,3
سرخاب,سرخاب,3
سرخ,سرخ,3
جمیع,جمیع,3
متقاضی,متقاضی,3
سربالا,سربالا,3
متقلب,متقلب,3
تجربه,تجربه,3
نهاذر,نه آذر,3
تجربهکردن,تجربه کردن,3
رگوپی,رگ‌وپی,3
تجارت,تجارت,3
متل,متل,3
سربسته,سربسته,3
تجاوز,تجاوز,3
لزوم,لزوم,3
جوابدادن,جواب دادن,3
تاواندادن,تاوان دادن,3
جواب,جواب,3
جهنمی,جهنمی,3
جهانگیر,جهان‌گیر,3
ریشهدار,ریشه‌دار,3
لختی,لختی,3
تاسیسکردن,تاسیس کردن,3
ویترای,ویترای,3
سرراهی,سرراهی,3
لجنی,لجنی,3
نقلی,نقلی,3
ریکاوری,ریکاوری,3
متهم,متهم,3
جنگل,جنگل,3
نمایشدادن,نمایش دادن,3
تباهی,تباهی,3
ولایت,ولایت,3
سرخگشتن,سرخ گشتن,3
تاکردن,تا کردن,3
جنگنده,جنگنده,3
تب,تب,3
نهاندان,نهان‌دان,3
جلوگیریکردن,جلوگیری‌کردن,3
نوار,نوار,3
جلورفتن,جلو رفتن,3
سخنرانی,سخن‌رانی,3
وزارت,وزارت,3
جلف,جلف,3
نواختن,نواختن,3
تحول,تحول,3
وزن,وزن,3
لمسکردن,لمس کردن,3
سد,سد,3
سخنگو,سخن‌گو,3
لنگ,لنگ,3
تخلیه,تخلیه,3
سختشدن,سخت شدن,3
ورقه,ورقه,3
نوبتی,نوبتی,3
جفتکردن,جفت کردن,3
جلد,جلد,3
جلب,جلب,3
متعجب,متعجب,3
نوباوگی,نوباوگی,3
تخصصی,تخصصی,3
نهیب,نهیب,3
لغوکردن,لغو کردن,3
سرامیک,سرامیک,3
تجویز,تجویز,3
سراغاز,سرآغاز,3
جمهور,جمهور,3
وسعتیافتن,وسعت یافتن,3
زال,زال,3
تجلی,تجلی,3
تجزیهکردن,تجزیه کردن,3
لغو,لغو,3
سرایتکردن,سرایت کردن,3
وسعتدادن,وسعت دادن,3
نهماذر,نهم آذر,3
جمعی,جمعی,3
تحقیق,تحقیق,3
وزیر,وزیر,3
جماعت,جماعت,3
نهایی,نهایی,3
نهایت,نهایت,3
تحریم,تحریم,3
جمعگرایی,جمع‌گرایی,3
تحصیل,تحصیل,3
ثابتکردن,ثابت کردن,3
زوزه,زوزه,3
ساختمان,ساختمان,3
تمرین,تمرین,3
تمرینکردن,تمرین کردن,3
ماشین,ماشین,3
همه,همه,3
تونیک,تونیک,3
توهمزا,توهم‌زا,3
ماسیدن,ماسیدن,3
تمایل,تمایل,3
هموارکردن,هموار کردن,3
زی,زی,3
ماهانه,ماهانه,3
مانور,مانور,3
زیارتکردن,زیارت کردن,3
زیان,زیان,3
هممسلک,هم‌مسلک,3
توفیق,توفیق,3
تنبل,تنبل,3
همصدایی,هم‌صدایی,3
هستی,هستی,3
همنشین,هم‌نشین,3
هزینه,هزینه,3
تولیدی,تولیدی,3
هممیهن,هم‌میهن,3
توپ,توپ,3
هموغم,هم‌وغم,3
تلفن,تلفن,3
مازو,مازو,3
همگانی,همگانی,3
همکاری,همکاری,3
تلکهبگیر,تلکه‌بگیر,3
تلکهگیر,تلکه‌گیر,3
هنباز,هنباز,3
مارک,مارک,3
ماهی,ماهی,3
هندی,هندی,3
تلخ,تلخ,3
مارگیر,مارگیر,3
تماس,تماس,3
زورکی,زورکی,3
توپزدن,توپ زدن,3
ساختگی,ساختگی,3
تماشاچی,تماشاچی,3
تمامقد,تمام‌قد,3
زود,زود,3
هراسان,هراسان,3
تیاتر,تئاتر,3
زور,زور,3
ماهیانه,ماهیانه,3
تنین,تنین,3
تنگه,تنگه,3
مالی,مالی,3
هم‌جنس,هم‌جنس,3
تودهای,توده‌ای,3
تهاتری,تهاتری,3
تهاجمی,تهاجمی,3
توده,توده,3
توری,توری,3
همخوانی,همخوانی,3
تنگ,تنگ,3
توزرد,توزرد,3
هفتتیر,هفت‌تیر,3
زید,زید,3
توانایی,توانایی,3
زیردست,زیردست,3
زیردستی,زیردستی,3
هماهنگی,هماهنگی,3
هم,هم,3
هماندازه,هم‌اندازه,3
توحید,توحید,3
هفدهمی,هفده می,3
زیرپایی,زیرپایی,3
توت,توت,3
هماوایی,هم‌آوایی,3
مالاندن,مالاندن,3
